Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
20,142 (75%),9,3.0305,9579,2400,
21,26 (12.5%),3,1.6861,1897,2646,
21,52 (25%),4,2.0506,3359,2646,
21,105 (50%),6,2.8155,6500,2646,
21,157 (75%),9,3.4666,10478,2646,
22,28 (12.5%),3,1.8373,1950,2904,
22,57 (25%),4,2.2707,3936,2904,
22,115 (50%),6,3.0301,6788,2904,
22,173 (75%),9,3.9284,11939,2904,
23,31 (12.5%),3,2.1009,2460,3174,
23,63 (25%),4,2.8963,4383,3174,
23,126 (50%),6,3.5079,8130,3174,
23,189 (75%),10,4.3118,13383,3174,
24,34 (12.5%),3,2.3866,2975,3456,
24,69 (25%),4,2.6770,4954,3456,
24,138 (50%),7,3.9485,9280,3456,
24,207 (75%),10,5.0175,14585,3456,
25,37 (12.5%),3,2.7554,3218,3750,
25,75 (25%),4,2.9671,5367,3750,
25,150 (50%),6,4.5412,10320,3750,
25,225 (75%),10,5.6648,16423,3750,
26,40 (12.5%),3,2.7804,3631,4056,
26,81 (25%),4,3.3708,6128,4056,
26,162 (50%),7,4.6325,11614,4056,
26,243 (75%),10,6.1395,18614,4056,
27,43 (12.5%),3,2.8877,3636,4374,
27,87 (25%),4,3.6438,6743,4374,
27,175 (50%),7,5.0709,12955,4374,
27,263 (75%),11,6.9759,21440,4374,
28,47 (12.5%),3,3.2833,4451,4704,
28,94 (25%),5,3.9206,7444,4704,
28,189 (50%),7,5.6219,14255,4704,
28,283 (75%),11,7.3671,22571,4704,
29,50 (12.5%),3,3.3958,4795,5046,
29,101 (25%),5,4.2167,8371,5046,
29,203 (50%),7,6.3293,15990,5046,
29,304 (75%),11,8.0881,24771,5046,
30,54 (12.5%),3,3.6333,5068,5400,
30,108 (25%),5,4.8387,9337,5400,
30,217 (50%),7,7.2625,17141,5400,
30,326 (75%),12,8.8427,28131,5400,
31,58 (12.5%),3,4.2536,5655,5766,
31,116 (25%),5,5.0213,9715,5766,
31,232 (50%),7,7.3254,18789,5766,
31,348 (75%),12,9.6560,31443,5766,
32,62 (12.5%),3,4.3600,6039,6144,
32,124 (25%),5,5.3737,11032,6144,
32,248 (50%),8,7.7856,21376,6144,
32,372 (75%),12,10.3397,33173,6144,
33,66 (12.5%),3,4.9107,6858,6534,
33,132 (25%),5,5.9550,12117,6534,
33,264 (50%),8,8.5266,22748,6534,
33,396 (75%),12,11.4350,36208,6534,
34,70 (12.5%),4,5.7411,7348,6936,
34,140 (25%),5,6.3875,13232,6936,
34,280 (50%),9,9.7558,24684,6936,
34,420 (75%),13,12.2108,40107,6936,
35,74 (12.5%),4,5.6260,7884,7350,
35,148 (25%),5,6.7093,13962,7350,
35,297 (50%),9,10.0658,26716,7350,
35,446 (75%),13,13.2754,43559,7350,
36,78 (12.5%),4,5.7645,9154,7776,
36,157 (25%),5,7.3116,15267,7776,
36,315 (50%),9,10.8120,27422,7776,
36,472 (75%),12,14.7121,45486,7776,
37,83 (12.5%),4,6.2840,9106,8214,
37,166 (25%),6,7.9875,16004,8214,
37,333 (50%),9,11.6110,31380,8214,
37,499 (75%),13,15.7022,49913,8214,
38,87 (12.5%),4,6.8300,9989,8664,
38,175 (25%),6,8.4183,17888,8664,
38,351 (50%),9,12.2573,33737,8664,
38,527 (75%),14,16.6140,55662,8664,
39,92 (12.5%),4,6.8798,10338,9126,
39,185 (25%),6,9.2859,18516,9126,
39,370 (50%),9,13.4816,35244,9126,
39,555 (75%),14,18.4250,60768,9126,
40,97 (12.5%),4,7.5519,11523,9600,
40,195 (25%),6,9.9061,20571,9600,
40,390 (50%),9,14.2808,37553,9600,
40,585 (75%),14,19.8259,61892,9600,
41,102 (12.5%),4,8.1952,12487,10086,
41,205 (25%),6,10.7481,22326,10086,
41,410 (50%),10,15.4123,42760,10086,
41,615 (75%),14,20.8509,68503,10086,
42,107 (12.5%),4,8.3356,13445,10584,
42,215 (25%),6,10.7660,23621,10584,
42,430 (50%),10,16.2983,44631,10584,
42,645 (75%),15,22.6569,71027,10584,
43,112 (12.5%),4,8.8120,14228,11094,
43,225 (25%),6,11.7681,24794,11094,
43,451 (50%),10,17.5035,49435,11094,
43,677 (75%),15,23.3846,77516,11094,
44,118 (12.5%),4,9.2962,14706,11616,
44,236 (25%),6,12.5182,26539,11616,
44,473 (50%),10,19.0439,50749,11616,
44,709 (75%),15,24.6902,82526,11616,
