Vertices,Edge %,Chromatic Number,Exec Time,Precision
135,6783 (75%),39,350.9452,
136,1147 (12.5%),8,102.7510,
136,2295 (25%),13,163.3492,
136,4590 (50%),24,273.2525,
136,6885 (75%),39,360.8055,
137,1164 (12.5%),9,103.7338,
137,2329 (25%),14,152.2660,
137,4658 (50%),24,255.1780,
137,6987 (75%),40,358.1600,
138,1181 (12.5%),8,103.9069,
138,2363 (25%),13,156.0593,
138,4726 (50%),24,258.8122,
138,7089 (75%),40,361.3610,
139,1198 (12.5%),9,105.8967,
139,2397 (25%),14,157.8743,
139,4795 (50%),25,261.7095,
139,7193 (75%),39,368.9382,
140,1216 (12.5%),9,105.9017,
140,2432 (25%),14,158.7472,
140,4865 (50%),24,263.0820,
140,7297 (75%),40,374.7785,
141,1233 (12.5%),9,106.1208,
141,2467 (25%),14,161.3805,
141,4935 (50%),25,269.2080,
141,7402 (75%),40,379.1616,
142,1251 (12.5%),9,109.4906,
142,2502 (25%),14,163.6226,
142,5005 (50%),25,275.0187,
142,7508 (75%),40,385.0253,
143,1269 (12.5%),9,108.8152,
143,2538 (25%),14,167.9511,
143,5076 (50%),25,277.9322,
143,7614 (75%),40,387.8164,
144,1287 (12.5%),9,113.7414,
144,2574 (25%),14,168.1385,
144,5148 (50%),25,285.0144,
144,7722 (75%),41,393.1603,
145,1305 (12.5%),9,112.4837,
145,2610 (25%),14,168.3595,
145,5220 (50%),26,284.3568,
145,7830 (75%),42,397.9380,
146,1323 (12.5%),9,114.9745,
146,2646 (25%),14,170.4438,
146,5292 (50%),26,285.7161,
146,7938 (75%),42,406.3981,
147,1341 (12.5%),9,114.4004,
147,2682 (25%),14,172.6446,
147,5365 (50%),26,289.2687,
147,8048 (75%),40,411.1531,
148,1359 (12.5%),9,115.9618,
148,2719 (25%),14,174.5629,
148,5439 (50%),26,293.3300,
148,8158 (75%),42,418.3402,
149,1378 (12.5%),9,117.3940,
149,2756 (25%),14,175.7712,
149,5513 (50%),26,296.3529,
149,8269 (75%),42,418.1919,
150,1396 (12.5%),9,116.2260,
150,2793 (25%),14,177.3717,
150,5587 (50%),26,302.2742,
150,8381 (75%),43,430.2289,
151,1415 (12.5%),9,118.9315,
151,2831 (25%),14,181.5732,
151,5662 (50%),26,304.6536,
151,8493 (75%),42,430.2218,
152,1434 (12.5%),9,119.2009,
152,2869 (25%),14,182.8046,
152,5738 (50%),27,309.7422,
152,8607 (75%),42,435.0450,
153,1453 (12.5%),9,119.4539,
153,2907 (25%),14,183.9793,
153,5814 (50%),27,317.5786,
153,8721 (75%),43,441.4368,
154,1472 (12.5%),9,122.5202,
154,2945 (25%),15,188.6356,
154,5890 (50%),27,316.3950,
154,8835 (75%),43,446.8648,
155,1491 (12.5%),10,122.5898,
155,2983 (25%),15,188.8781,
155,5967 (50%),27,319.4525,
155,8951 (75%),43,452.6930,
156,1511 (12.5%),9,125.0455,
156,3022 (25%),15,191.2782,
156,6045 (50%),27,326.7922,
156,9067 (75%),44,461.2780,
157,1530 (12.5%),10,127.3544,
157,3061 (25%),15,193.5534,
157,6123 (50%),27,327.2667,
157,9184 (75%),43,464.4380,
158,1550 (12.5%),9,127.8021,
158,3100 (25%),15,194.8364,
158,6201 (50%),28,332.2172,
158,9302 (75%),44,470.2516,
159,1570 (12.5%),9,128.9053,
159,3140 (25%),15,210.8712,
159,6280 (50%),27,343.6558,
159,9420 (75%),45,478.4741,
160,1590 (12.5%),9,130.7127,
160,3180 (25%),15,199.8951,
160,6360 (50%),27,340.4372,
160,9540 (75%),44,483.5355,
161,1610 (12.5%),10,152.1442,
161,3220 (25%),15,223.0554,
161,6440 (50%),28,390.0096,
161,9660 (75%),44,490.5381,
162,1630 (12.5%),10,136.0722,
162,3260 (25%),15,202.4894,
162,6520 (50%),28,345.9253,
162,9780 (75%),45,491.8554,
163,1650 (12.5%),10,134.6028,
163,3300 (25%),15,207.7541,
163,6601 (50%),28,352.4609,
163,9902 (75%),46,497.3450,
164,1670 (12.5%),10,133.7616,
164,3341 (25%),16,206.7955,
164,6683 (50%),28,355.2592,
164,10024 (75%),44,507.8480,
165,1691 (12.5%),10,135.5114,
165,3382 (25%),15,207.9253,
165,6765 (50%),28,358.0012,
165,10147 (75%),46,548.1522,
166,1711 (12.5%),10,139.8172,
166,3423 (25%),16,213.2130,
166,6847 (50%),28,364.6896,
166,10271 (75%),46,515.8355,
167,1732 (12.5%),10,138.9477,
167,3465 (25%),15,214.7937,
167,6930 (50%),29,367.6517,
167,10395 (75%),47,520.0255,
168,1753 (12.5%),10,138.2387,
168,3507 (25%),16,215.9581,
168,7014 (50%),29,369.6079,
168,10521 (75%),46,521.9872,
169,1774 (12.5%),10,143.5509,
169,3549 (25%),16,219.3942,
169,7098 (50%),29,374.0532,
169,10647 (75%),47,532.1622,
170,1795 (12.5%),10,142.4253,
170,3591 (25%),16,222.3296,
170,7182 (50%),28,380.2423,
170,10773 (75%),47,541.2288,
171,1816 (12.5%),10,142.5111,
171,3633 (25%),16,227.0975,
171,7267 (50%),29,382.6230,
171,10901 (75%),47,542.2475,
172,1838 (12.5%),10,147.9068,
172,3676 (25%),16,227.5703,
172,7353 (50%),29,388.4823,
172,11029 (75%),47,561.6627,
173,1859 (12.5%),10,145.7276,
173,3719 (25%),16,253.2496,
173,7439 (50%),29,390.6920,
173,11158 (75%),47,555.2406,
174,1881 (12.5%),10,147.3145,
174,3762 (25%),16,230.8533,
174,7525 (50%),29,397.9614,
174,11288 (75%),48,567.2581,
175,1903 (12.5%),10,151.9098,
175,3806 (25%),16,235.1599,
175,7612 (50%),30,399.4763,
175,11418 (75%),48,565.1898,
176,1925 (12.5%),10,151.2671,
176,3850 (25%),16,237.0327,
176,7700 (50%),29,404.9048,
176,11550 (75%),48,578.3968,
177,1947 (12.5%),10,152.2238,
177,3894 (25%),16,235.6694,
177,7788 (50%),30,406.5909,
177,11682 (75%),48,581.1713,
178,1969 (12.5%),10,153.5728,
178,3938 (25%),16,239.7025,
178,7876 (50%),30,413.5113,
178,11814 (75%),49,588.1844,
179,1991 (12.5%),10,153.3568,
179,3982 (25%),17,244.4334,
179,7965 (50%),30,418.9053,
179,11948 (75%),49,596.6992,
180,2013 (12.5%),10,157.2564,
180,4027 (25%),17,243.0933,
180,8055 (50%),30,422.0455,
180,12082 (75%),48,595.7606,
181,2036 (12.5%),10,159.7199,
181,4072 (25%),17,245.5685,
181,8145 (50%),30,426.0767,
181,12217 (75%),50,603.8718,
182,2058 (12.5%),10,164.5150,
182,4117 (25%),17,249.0635,
182,8235 (50%),30,431.8554,
182,12353 (75%),50,610.1105,
183,2081 (12.5%),10,158.7863,
183,4163 (25%),17,249.6321,
183,8326 (50%),31,433.0399,
183,12489 (75%),50,619.5555,
184,2104 (12.5%),10,161.8879,
184,4209 (25%),17,251.5497,
184,8418 (50%),31,437.3224,
184,12627 (75%),50,625.6509,
185,2127 (12.5%),11,162.3399,
185,4255 (25%),17,257.5147,
185,8510 (50%),30,442.9808,
185,12765 (75%),50,628.7992,
186,2150 (12.5%),11,163.9187,
186,4301 (25%),17,262.3749,
186,8602 (50%),31,445.8420,
186,12903 (75%),51,630.2412,
187,2173 (12.5%),11,167.1278,
187,4347 (25%),17,259.2599,
187,8695 (50%),31,456.0349,
187,13043 (75%),51,643.0519,
188,2197 (12.5%),11,167.7589,
188,4394 (25%),17,260.5267,
188,8789 (50%),31,454.0610,
188,13183 (75%),51,652.9648,
189,2220 (12.5%),11,166.8842,
189,4441 (25%),17,263.9647,
189,8883 (50%),32,460.6001,
189,13324 (75%),52,650.7401,
190,2244 (12.5%),11,170.4586,
190,4488 (25%),17,271.2343,
190,8977 (50%),31,463.5201,
190,13466 (75%),50,656.9247,
191,2268 (12.5%),11,170.4171,
191,4536 (25%),17,271.2317,
191,9072 (50%),32,469.9824,
191,13608 (75%),50,666.3690,
192,2292 (12.5%),11,174.4132,
192,4584 (25%),18,270.0031,
192,9168 (50%),32,470.6833,
192,13752 (75%),51,673.2218,
193,2316 (12.5%),11,172.0262,
193,4632 (25%),18,274.2376,
193,9264 (50%),32,476.2783,
193,13896 (75%),53,679.8217,
194,2340 (12.5%),11,179.2576,
194,4680 (25%),18,278.3189,
194,9360 (50%),32,482.1856,
194,14040 (75%),52,684.8454,
195,2364 (12.5%),11,175.2653,
195,4728 (25%),18,279.1181,
195,9457 (50%),33,485.3117,
195,14186 (75%),53,690.1670,
196,2388 (12.5%),11,177.6242,
196,4777 (25%),18,281.2307,
196,9555 (50%),32,487.3073,
196,14332 (75%),53,694.9575,
197,2413 (12.5%),11,180.1119,
197,4826 (25%),18,285.1074,
197,9653 (50%),32,494.3283,
197,14479 (75%),54,704.1605,
198,2437 (12.5%),11,180.4314,
198,4875 (25%),18,285.4915,
198,9751 (50%),33,497.3106,
198,14627 (75%),53,711.4773,
199,2462 (12.5%),11,182.5509,
199,4925 (25%),18,291.0826,
199,9850 (50%),33,504.2570,
199,14775 (75%),53,717.8273,
200,2487 (12.5%),11,185.0884,
200,4975 (25%),18,291.5370,
200,9950 (50%),33,511.8792,
200,14925 (75%),53,729.7406,
201,2512 (12.5%),11,184.1266,
201,5025 (25%),18,292.5243,
201,10050 (50%),32,521.7488,
201,15075 (75%),53,726.3927,
202,2537 (12.5%),11,186.8937,
202,5075 (25%),18,296.4861,
202,10150 (50%),32,514.4536,
202,15225 (75%),54,735.6391,
203,2562 (12.5%),11,186.7721,
203,5125 (25%),18,297.7421,
203,10251 (50%),34,520.6389,
203,15377 (75%),54,745.8811,
204,2588 (12.5%),11,188.7937,
204,5176 (25%),18,298.7335,
204,10353 (50%),34,528.2300,
204,15529 (75%),55,749.2614,
205,2613 (12.5%),11,189.5916,
205,5227 (25%),18,304.5378,
205,10455 (50%),33,563.3273,
205,15682 (75%),55,777.7839,
