Vertices,Edge %,Chromatic Number,Exec Time,Basic Operations,Configurations Tested,Precision
142,7508 (75%),42,0.8044,2572,142,
143,1269 (12.5%),9,0.2038,432,143,
143,2538 (25%),14,0.3800,804,143,
143,5076 (50%),27,0.5758,1660,143,
143,7614 (75%),43,0.8347,2837,143,
144,1287 (12.5%),10,0.2127,474,144,
144,2574 (25%),14,0.3366,815,144,
144,5148 (50%),25,2.1391,1648,144,
144,7722 (75%),42,0.8426,2850,144,
145,1305 (12.5%),10,0.2222,497,145,
145,2610 (25%),15,0.3564,799,145,
145,5220 (50%),27,0.9246,1644,145,
145,7830 (75%),43,0.8037,2808,145,
146,1323 (12.5%),9,0.2184,497,146,
146,2646 (25%),15,0.3357,824,146,
146,5292 (50%),27,0.7153,1631,146,
146,7938 (75%),43,0.8564,2853,146,
147,1341 (12.5%),9,0.2239,474,147,
147,2682 (25%),15,0.3579,868,147,
147,5365 (50%),27,0.6115,1677,147,
147,8048 (75%),42,0.8576,2940,147,
148,1359 (12.5%),9,0.2470,496,148,
148,2719 (25%),14,0.3572,872,148,
148,5439 (50%),27,0.5960,1798,148,
148,8158 (75%),44,3.1784,2905,148,
149,1378 (12.5%),9,0.2329,494,149,
149,2756 (25%),15,0.3588,898,149,
149,5513 (50%),28,0.6049,1763,149,
149,8269 (75%),44,0.8640,3021,149,
150,1396 (12.5%),9,0.2286,511,150,
150,2793 (25%),16,0.3972,902,150,
150,5587 (50%),26,0.6275,1703,150,
150,8381 (75%),41,0.8433,2848,150,
151,1415 (12.5%),10,0.2334,529,151,
151,2831 (25%),15,0.3493,885,151,
151,5662 (50%),27,0.6242,1738,151,
151,8493 (75%),43,0.8869,2919,151,
152,1434 (12.5%),10,0.2787,537,152,
152,2869 (25%),14,0.3541,880,152,
152,5738 (50%),27,0.6132,1769,152,
152,8607 (75%),43,0.9024,2919,152,
153,1453 (12.5%),10,0.2258,529,153,
153,2907 (25%),15,0.3502,910,153,
153,5814 (50%),28,2.4006,1889,153,
153,8721 (75%),44,0.8931,3221,153,
154,1472 (12.5%),10,0.2410,562,154,
154,2945 (25%),16,1.3747,945,154,
154,5890 (50%),26,0.6347,1762,154,
154,8835 (75%),44,0.9351,3118,154,
155,1491 (12.5%),10,0.2434,533,155,
155,2983 (25%),15,0.3648,955,155,
155,5967 (50%),26,0.6628,1771,155,
155,8951 (75%),44,0.9534,3033,155,
156,1511 (12.5%),9,0.2449,561,156,
156,3022 (25%),16,0.3932,1009,156,
156,6045 (50%),29,0.6738,1795,156,
156,9067 (75%),45,0.9487,3237,156,
157,1530 (12.5%),9,0.3605,543,157,
157,3061 (25%),15,0.4342,996,157,
157,6123 (50%),27,0.6604,1826,157,
157,9184 (75%),47,0.9124,3306,157,
158,1550 (12.5%),9,0.2551,531,158,
158,3100 (25%),16,0.3722,998,158,
158,6201 (50%),28,0.7362,1881,158,
158,9302 (75%),44,0.9880,3282,158,
159,1570 (12.5%),10,0.2477,574,159,
159,3140 (25%),17,0.5937,1022,159,
159,6280 (50%),28,1.3101,1925,159,
159,9420 (75%),45,0.9971,3224,159,
160,1590 (12.5%),9,0.2811,559,160,
160,3180 (25%),16,0.3762,1019,160,
160,6360 (50%),29,0.6733,2069,160,
160,9540 (75%),47,0.9532,3477,160,
161,1610 (12.5%),9,0.3183,546,161,
161,3220 (25%),15,0.4454,990,161,
161,6440 (50%),28,0.8364,1986,161,
161,9660 (75%),45,1.0092,3343,161,
162,1630 (12.5%),10,0.2601,573,162,
162,3260 (25%),16,0.3936,1030,162,
162,6520 (50%),29,0.7100,2100,162,
162,9780 (75%),46,1.0223,3311,162,
163,1650 (12.5%),10,0.2594,612,163,
163,3300 (25%),16,1.5001,1045,163,
163,6601 (50%),29,0.7102,2064,163,
163,9902 (75%),46,1.0433,3546,163,
164,1670 (12.5%),10,0.2639,590,164,
164,3341 (25%),16,0.3924,1067,164,
164,6683 (50%),29,0.7341,2161,164,
164,10024 (75%),47,1.0607,3509,164,
165,1691 (12.5%),10,0.3386,634,165,
165,3382 (25%),16,1.5371,1097,165,
165,6765 (50%),28,0.7243,2054,165,
